"FilePath","WarningCount","Rules","SampleMessages","FirstSeen"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Infrastructure\Secrets\InfisicalSecretsClient.cs","44","CA1031;CA1062;MA0004;MA0048;S2139;S6667","File name must match type name (record InfisicalAuthResponse) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md) || File name must match type name (record InfisicalSecretResponse) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md) || File name must match type name (record InfisicalSecret) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)","2025-12-13T19:34:35.4642806+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Services\N8nTemplateService.cs","42","CA1062;MA0016;MA0051;S1066;S1144;S2325;S3267;S3459","Remove unassigned auto-property 'Screenshot', or set its value. (https://rules.sonarsource.com/csharp/RSPEC-3459) || Remove unassigned auto-property 'Documentation', or set its value. (https://rules.sonarsource.com/csharp/RSPEC-3459) || Remove unassigned auto-property 'Required', or set its value. (https://rules.sonarsource.com/csharp/RSPEC-3459)","2025-12-13T19:34:35.4899281+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Commands\UploadPdfCommandHandler.cs","36","CA1031;CA1062;MA0051;S1172;S125;S1481;S2737","Remove this commented out code. (https://rules.sonarsource.com/csharp/RSPEC-125) || Remove this commented out code. (https://rules.sonarsource.com/csharp/RSPEC-125) || Add logic to this catch clause or eliminate it and rethrow the exception automatically. (https://rules.sonarsource.com/csharp/RSPEC-2737)","2025-12-13T19:34:35.3860274+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\ChartGenerationService.cs","34","CA1062;MA0016;S2325;S5445","'Path.GetTempFileName()' is insecure. Use 'Path.GetRandomFileName()' instead. (https://rules.sonarsource.com/csharp/RSPEC-5445) || Make 'GenerateLineChart' a static method. (https://rules.sonarsource.com/csharp/RSPEC-2325) || Nel metodo visibile esternamente 'byte[] ChartGenerationService.GenerateLineChart(string title, string[] xLabels, double[] yValues, string yAxisLabel, int width = 800, int height = 400)' convalidare il parametro 'xLabels' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062)","2025-12-13T19:34:35.3626418+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Helpers\RagExceptionHandler.cs","32","CA1062;MA0016;S2629","Nel metodo visibile esternamente 'TResponse RagExceptionHandler.HandleException<TResponse>(Exception exception, ILogger logger, Action<ILogger, Exception> logAction, string gameId, string operation, Activity? activity, Stopwatch stopwatch, Func<TResponse> errorResponseFactory)' convalidare il parametro 'errorResponseFactory' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'TResponse RagExceptionHandler.HandleException<TResponse>(Exception exception, ILogger logger, Action<ILogger, Exception> logAction, string gameId, string operation, Activity? activity, Stopwatch stopwatch, Func<TResponse> errorResponseFactory)' convalidare il parametro 'stopwatch' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'TResponse RagExceptionHandler.HandleException<TResponse>(Exception exception, ILogger logger, Action<ILogger, Exception> logAction, string gameId, string operation, Activity? activity, Stopwatch stopwatch, Func<TResponse> errorResponseFactory)' convalidare il parametro 'exception' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062)","2025-12-13T19:34:35.4566249+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Authentication\Infrastructure\Repositories\ShareLinkRepository.cs","32","CA1062;MA0004","Use Task.ConfigureAwait(false) if the current SynchronizationContext is not needed (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0004.md) || Use Task.ConfigureAwait(false) if the current SynchronizationContext is not needed (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0004.md) || Use Task.ConfigureAwait(false) if the current SynchronizationContext is not needed (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0004.md)","2025-12-13T19:34:35.3843502+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\SystemConfiguration\Domain\Services\ConfigurationValidator.cs","30","S1066;S1118","Add a 'protected' constructor or the 'static' keyword to the class declaration. (https://rules.sonarsource.com/csharp/RSPEC-1118) || Merge this if statement with the enclosing one. (https://rules.sonarsource.com/csharp/RSPEC-1066) || Merge this if statement with the enclosing one. (https://rules.sonarsource.com/csharp/RSPEC-1066)","2025-12-13T19:34:35.4459892+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\ReportGeneratorService.SystemHealth.cs","28","MA0002;MA0051;S1066","Merge this if statement with the enclosing one. (https://rules.sonarsource.com/csharp/RSPEC-1066) || Method is too long (117 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Use an overload that has a IEqualityComparer<string> or IComparer<string> parameter (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0002.md)","2025-12-13T19:34:35.3663245+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\CookieHelpers.cs","28","CA1062;MA0051;MA0132;S3267","Nel metodo visibile esternamente 'void CookieHelpers.WriteSessionCookie(HttpContext context, string token, DateTime expiresAt)' convalidare il parametro 'context' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'void CookieHelpers.WriteUserRoleCookie(HttpContext context, string role, DateTime expiresAt)' convalidare il parametro 'context' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'void CookieHelpers.WriteApiKeyCookie(HttpContext context, string apiKey, DateTime? expiresAt = null)' convalidare il parametro 'context' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062)","2025-12-13T19:34:35.4788685+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\KnowledgeBase\Application\Commands\AddCommentToSharedThread\AddCommentToSharedThreadCommandHandler.cs","26","CA1062;MA0004;MA0011;MA0015;MA0051;S3928","Method is too long (71 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || The parameter name 'Content' is not declared in the argument list. (https://rules.sonarsource.com/csharp/RSPEC-3928) || The parameter name 'Content' is not declared in the argument list. (https://rules.sonarsource.com/csharp/RSPEC-3928)","2025-12-13T19:34:35.4121540+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Repositories\AlertRuleRepository.cs","26","CA1062;MA0004","Use Task.ConfigureAwait(false) if the current SynchronizationContext is not needed (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0004.md) || Use Task.ConfigureAwait(false) if the current SynchronizationContext is not needed (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0004.md) || Use Task.ConfigureAwait(false) if the current SynchronizationContext is not needed (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0004.md)","2025-12-13T19:34:35.3615500+01:00"
