"Project","File","Line","Column","Code","Category","Message"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\OAuth\HandleOAuthCallbackCommandHandler.cs","72","26","CS8604","Compiler","Possibile argomento di riferimento Null per il parametro 'ipAddress' in 'Task<string> HandleOAuthCallbackCommandHandler.CreateSessionForUserAsync(Guid userId, string ipAddress, string userAgent, CancellationToken cancellationToken)'."
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\OAuth\HandleOAuthCallbackCommandHandler.cs","72","45","CS8604","Compiler","Possibile argomento di riferimento Null per il parametro 'userAgent' in 'Task<string> HandleOAuthCallbackCommandHandler.CreateSessionForUserAsync(Guid userId, string ipAddress, string userAgent, CancellationToken cancellationToken)'."
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Commands\UploadChunkCommandHandler.cs","111","37","CS8602","Compiler","Dereferenziamento di un possibile riferimento Null."
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Commands\UploadChunkCommandHandler.cs","120","17","CS8602","Compiler","Dereferenziamento di un possibile riferimento Null."
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\DependencyInjection\AdministrationServiceExtensions.cs","60","13","CS0618","Compiler","'IServiceCollectionQuartzConfigurator.UseMicrosoftDependencyInjectionJobFactory(Action<JobFactoryOptions>?)' ├¿ obsoleto: 'MicrosoftDependencyInjectionJobFactory is the default for DI configuration, this method will be removed later on'"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\KnowledgeBase\Application\GridSearch\Handlers\RunGridSearchHandler.cs","46","13","CS8604","Compiler","Possibile argomento di riferimento Null per il parametro 'datasetPath' in 'Task<(EvaluationDataset dataset, IReadOnlyList<GridSearchConfiguration> configurations)> RunGridSearchHandler.LoadDatasetAndGetConfigurationsAsync(string datasetPath, RunGridSearchCommand request, CancellationToken cancellationToken)'."
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\External\PrometheusHttpClient.cs","78","37","CS8602","Compiler","Dereferenziamento di un possibile riferimento Null."
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\External\PrometheusHttpClient.cs","126","37","CS8602","Compiler","Dereferenziamento di un possibile riferimento Null."
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\KnowledgeBase\Application\Handlers\StreamQaQueryHandler.cs","196","54","CS8604","Compiler","Possibile argomento di riferimento Null per il parametro 'searchConfidence' in 'Task<Confidence> StreamQaQueryHandler.CalculateAndCacheResponseAsync(string answer, List<Snippet> snippets, List<SearchResult> domainSearchResults, Confidence searchConfidence, int tokenCount, string cacheKey, LlmUsage? llmUsage, LlmCost? llmCost, CancellationToken cancellationToken)'."
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\ActivatePromptVersionCommandHandler.cs","160","13","S125","Other","Remove this commented out code. (https://rules.sonarsource.com/csharp/RSPEC-125)"
