"File","CatchCount","Lines","HasS2139Pragma"
"apps\api\src\Api\Program.cs","2","454, 671","True"
"apps\api\src\Api\BoundedContexts\Administration\Application\EventHandlers\DashboardCacheInvalidationEventHandler.cs","1","88","False"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\BulkImportUsersCommandHandler.cs","2","78, 183","False"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\BulkPasswordResetCommandHandler.cs","2","87, 113","False"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\BulkRoleChangeCommandHandler.cs","3","60, 89, 115","False"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\GenerateReportCommandHandler.cs","1","68","False"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\GetInfrastructureDetailsQueryHandler.cs","1","44","True"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\GetInfrastructureHealthQueryHandler.cs","1","53","True"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\GetLowQualityResponsesQueryHandler.cs","1","78","False"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\GetPrometheusMetricsQueryHandler.cs","1","52","True"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\SearchUsersQueryHandler.cs","1","47","False"
"apps\api\src\Api\BoundedContexts\Administration\Application\Handlers\AlertRules\TestAlertCommandHandler.cs","1","50","False"
"apps\api\src\Api\BoundedContexts\Administration\Infrastructure\External\InfrastructureDetailsService.cs","5","72, 95, 117, 138, 159","True"
"apps\api\src\Api\BoundedContexts\Administration\Infrastructure\External\InfrastructureHealthService.cs","2","63, 108","True"
"apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Scheduling\GenerateReportJob.cs","3","109, 162, 192","False"
"apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\LighthouseReportParserService.cs","2","90, 159","False"
"apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\PlaywrightReportParserService.cs","1","108","False"
"apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\PrometheusClientService.cs","2","75, 95","False"
"apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\OAuth\HandleOAuthCallbackCommandHandler.cs","1","107","False"
"apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\OAuth\InitiateOAuthLoginCommandHandler.cs","1","91","False"
"apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\OAuth\LinkOAuthAccountCommandHandler.cs","1","110","False"
"apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\OAuth\UnlinkOAuthAccountCommandHandler.cs","1","98","False"
"apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\PasswordReset\RequestPasswordResetCommandHandler.cs","1","60","False"
"apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\PasswordReset\ResetPasswordCommandHandler.cs","1","83","False"
