"Category","Lines","CodeBlocks","HasObsolete","ObsoleteTerms","Path"
"KEEP","242","2","False","","INDEX.md"
"ARCHIVE","219","0","True","historical","README.md"
"REMOVE-CODE","509","9","False","","S3.md"
"ARCHIVE","240","1","True","legacy","SKILLS-REFERENCE.md"
"ARCHIVE","325","0","True","historical","01-architecture\README.md"
"ARCHIVE","410","4","True","superseded","01-architecture\adr\adr-001-hybrid-rag.md"
"REMOVE-CODE","412","9","False","","01-architecture\adr\adr-002-multilingual-embedding.md"
"ARCHIVE","304","5","True","superseded","01-architecture\adr\adr-003-pdf-processing.md"
"KEEP","330","2","False","","01-architecture\adr\adr-003b-unstructured-pdf.md"
"ARCHIVE","436","4","True","evolution","01-architecture\adr\adr-004-ai-agents.md"
"ARCHIVE","189","3","True","historical","01-architecture\adr\adr-004b-hybrid-llm.md"
"ARCHIVE","290","0","True","historical","01-architecture\adr\adr-005-cosine-similarity-consensus.md"
"REMOVE-CODE","719","14","False","","01-architecture\adr\adr-006-multi-layer-validation.md"
"ARCHIVE","189","3","True","historical","01-architecture\adr\adr-007-hybrid-llm.md"
"ARCHIVE","211","3","True","legacy","01-architecture\adr\adr-008-streaming-cqrs-migration.md"
"KEEP","233","3","False","","01-architecture\adr\adr-009-centralized-error-handling.md"
"ARCHIVE","308","2","True","legacy","01-architecture\adr\adr-010-security-headers-middleware.md"
"REMOVE-CODE","336","8","False","","01-architecture\adr\adr-011-cors-whitelist-headers.md"
"REMOVE-CODE","401","10","False","","01-architecture\adr\adr-012-fluentvalidation-cqrs.md"
"ARCHIVE","576","9","True","deprecated","01-architecture\adr\adr-013-nswag-typescript-generation.md"
"ARCHIVE","327","5","True","legacy","01-architecture\adr\adr-014-nswag-msbuild-removal.md"
"KEEP","182","3","False","","01-architecture\adr\adr-018-postgresql-fts-for-shared-catalog.md"
"ARCHIVE","200","4","True","no longer","01-architecture\adr\adr-019-shared-catalog-delete-workflow.md"
"REMOVE-CODE","157","6","False","","01-architecture\adr\adr-020-valueobject-record-evaluation.md"
"KEEP","432","1","False","","01-architecture\adr\adr-021-auto-configuration-system.md"
"REMOVE-CODE","246","4","False","","01-architecture\adr\adr-022-ssr-auth-protection.md"
"REMOVE-CODE","302","5","False","","01-architecture\adr\adr-023-share-request-workflow.md"
"REMOVE-CODE","900","19","False","","01-architecture\adr\adr-024-advanced-pdf-embedding-pipeline.md"
"KEEP","87","0","False","","01-architecture\adr\adr-025-shared-catalog-bounded-context.md"
"REMOVE-CODE","154","5","False","","01-architecture\adr\adr-026-document-collections.md"
"ARCHIVE","281","6","True","legacy","01-architecture\adr\adr-027-infrastructure-services-policy.md"
"ARCHIVE","149","0","True","deprecated","01-architecture\adr\adr-040-hyperdx-observability.md"
"ARCHIVE","90","0","True","deprecated","01-architecture\adr\adr-041-meeple-card-universal-system.md"
"KEEP","76","0","False","","01-architecture\adr\adr-042-dashboard-performance.md"
"ARCHIVE","107","0","True","deprecated","01-architecture\adr\README.md"
"ARCHIVE","2293","18","True","legacy","01-architecture\components\class-architecture.md"
"REMOVE-CODE","319","9","False","","01-architecture\components\confidence-validation.md"
"ARCHIVE","515","7","True","historical","01-architecture\components\pdf-extraction-alternatives.md"
"ARCHIVE","1405","54","True","legacy","01-architecture\components\shared-game-catalog-spec.md"
"REMOVE-CODE","534","8","False","","01-architecture\components\agent-lightning\architecture.md"
"REMOVE-CODE","692","5","False","","01-architecture\components\agent-lightning\examples.md"
"REMOVE-CODE","489","9","False","","01-architecture\components\agent-lightning\integration-guide.md"
"REMOVE-CODE","862","10","False","","01-architecture\components\agent-lightning\openrouter-guide.md"
"REMOVE-CODE","362","4","False","","01-architecture\components\agent-lightning\quickstart.md"
"ARCHIVE","725","3","True","evolution","01-architecture\components\amplifier\architecture-overview.md"
"COMPRESS","554","0","False","","01-architecture\components\amplifier\developer-workflow.md"
"ARCHIVE","994","13","True","legacy","01-architecture\components\amplifier\meepleai-examples.md"
"ARCHIVE","453","18","True","legacy","01-architecture\ddd\ddd-migration-pattern-guide.md"
"REMOVE-CODE","232","10","False","","01-architecture\ddd\quick-reference.md"
"COMPRESS","560","0","False","","01-architecture\diagrams\bounded-contexts-interactions.md"
"KEEP","284","0","False","","01-architecture\diagrams\cqrs-mediatr-flow.md"
"COMPRESS","649","0","False","","01-architecture\diagrams\github-actions-flow.md"
"KEEP","171","0","False","","01-architecture\diagrams\infrastructure-overview.md"
"KEEP","378","1","False","","01-architecture\diagrams\pdf-pipeline-detailed.md"
"KEEP","445","1","False","","01-architecture\diagrams\rag-system-detailed.md"
"ARCHIVE","268","0","True","legacy","01-architecture\diagrams\README.md"
"ARCHIVE","1367","1","True","evolution","01-architecture\overview\product-specification.md"
"ARCHIVE","926","8","True","evolution","01-architecture\overview\system-architecture.md"
"ARCHIVE","183","1","True","historical","02-development\admin-dashboard-guide.md"
"KEEP","256","2","False","","02-development\azul-test-instructions.md"
"KEEP","152","1","False","","02-development\bgg-api-token-setup.md"
